,volume,vwap,open,close,high,low,datetime,trades
612,150661.563283,680.2279,680.34,680.08,680.35,680.08,2026-03-03 14:12:00-05:00,2305
613,163775.966172,680.1821,680.071,680.39,680.47,679.93,2026-03-03 14:13:00-05:00,2494
614,176032.70921,680.5094,680.37,680.58,680.67,680.33,2026-03-03 14:14:00-05:00,2494
615,145499.441971,680.8081,680.59,681.16,681.1609,680.47,2026-03-03 14:15:00-05:00,2452
616,117624.621457,680.9018,681.15,680.75,681.15,680.61,2026-03-03 14:16:00-05:00,1897
617,80002.318972,680.7786,680.77,680.86,680.94,680.63,2026-03-03 14:17:00-05:00,1290
618,70668.662374,680.9391,680.86,680.83,681.04,680.815,2026-03-03 14:18:00-05:00,1256
619,61188.906391,680.8632,680.81,680.98,680.98,680.74,2026-03-03 14:19:00-05:00,1236
620,158273.315585,681.2907,681.0,681.33,681.51,680.97,2026-03-03 14:20:00-05:00,2448
621,76269.63799,681.3668,681.33,681.34,681.46,681.23,2026-03-03 14:21:00-05:00,1257
622,122428.348989,681.3245,681.37,681.48,681.49,681.0,2026-03-03 14:22:00-05:00,1944
623,71309.400253,681.3783,681.47,681.28,681.52,681.19,2026-03-03 14:23:00-05:00,1350
624,64048.122095,681.1647,681.29,680.98,681.34,680.95,2026-03-03 14:24:00-05:00,1201
625,93975.093883,680.8702,680.94,681.05,681.05,680.72,2026-03-03 14:25:00-05:00,1668
626,48511.907421,680.8931,681.03,680.78,681.09,680.75,2026-03-03 14:26:00-05:00,1190
627,82756.083049,680.6986,680.8,680.57,680.82,680.56,2026-03-03 14:27:00-05:00,1580
628,107817.010845,680.7337,680.58,680.52,680.91,680.42,2026-03-03 14:28:00-05:00,1915
629,90657.227149,680.5703,680.52,680.5,680.78,680.4,2026-03-03 14:29:00-05:00,1863
630,116623.863918,680.4623,680.5,680.59,680.72,680.29,2026-03-03 14:30:00-05:00,2233
631,77354.348358,680.514,680.55,680.38,680.69,680.34,2026-03-03 14:31:00-05:00,1658
632,121125.330586,680.3619,680.38,680.23,680.56,680.18,2026-03-03 14:32:00-05:00,2177
633,142760.76799,680.0525,680.24,679.77,680.35,679.76,2026-03-03 14:33:00-05:00,2454
634,243165.893045,679.6309,679.78,679.66,679.87,679.45,2026-03-03 14:34:00-05:00,3658
635,174560.349558,679.4555,679.65,679.42,679.69,679.275,2026-03-03 14:35:00-05:00,3039
636,199446.886005,679.6606,679.44,679.76,679.82,679.43,2026-03-03 14:36:00-05:00,2703
637,768959.283191,680.8653,679.78,681.72,681.73,679.65,2026-03-03 14:37:00-05:00,10437
638,380372.829094,681.5555,681.73,681.14,681.82,681.1,2026-03-03 14:38:00-05:00,6663
639,283011.09787,680.9469,681.15,681.0,681.23,680.75,2026-03-03 14:39:00-05:00,3969
640,200105.588069,681.1401,681.01,681.11,681.4465,680.78,2026-03-03 14:40:00-05:00,3024
641,193514.806812,681.4599,681.1,681.55,681.74,681.03,2026-03-03 14:41:00-05:00,2906
