,volume,vwap,open,close,high,low,datetime,trades
553,68404.443435,687.0305,687.005,687.01,687.08,686.97,2026-03-02 13:14:00-05:00,1156
554,66250.189806,686.9198,686.99,686.84,687.02,686.83,2026-03-02 13:15:00-05:00,1323
555,61873.993916,686.8014,686.85,686.7314,686.88,686.725,2026-03-02 13:16:00-05:00,1340
556,38359.570149,686.8229,686.76,686.81,686.88,686.73,2026-03-02 13:17:00-05:00,895
557,77372.325473,686.8077,686.83,686.7699,686.88,686.715,2026-03-02 13:18:00-05:00,1503
558,52766.547707,686.6452,686.77,686.56,686.81,686.54,2026-03-02 13:19:00-05:00,1111
559,110666.021455,686.4603,686.57,686.41,686.6,686.38,2026-03-02 13:20:00-05:00,2016
560,53644.325701,686.4309,686.41,686.37,686.55,686.3268,2026-03-02 13:21:00-05:00,1253
561,116200.350172,686.3113,686.38,686.37,686.4799,686.1002,2026-03-02 13:22:00-05:00,2209
562,50910.672175,686.3732,686.37,686.35,686.41,686.31,2026-03-02 13:23:00-05:00,1165
563,86994.556312,686.4599,686.37,686.43,686.57,686.3,2026-03-02 13:24:00-05:00,1563
564,68338.243507,686.3401,686.42,686.29,686.46,686.24,2026-03-02 13:25:00-05:00,1256
565,85156.556448,686.4623,686.28,686.69,686.69,686.265,2026-03-02 13:26:00-05:00,1521
566,78758.452308,686.7182,686.7,686.67,686.8287,686.645,2026-03-02 13:27:00-05:00,1317
567,62461.919671,686.79,686.675,686.8,686.87,686.6244,2026-03-02 13:28:00-05:00,1153
568,36503.841262,686.7603,686.8,686.72,686.83,686.64,2026-03-02 13:29:00-05:00,829
569,54357.492484,686.6622,686.75,686.54,686.8,686.51,2026-03-02 13:30:00-05:00,1230
570,83643.392585,686.5332,686.54,686.53,686.62,686.4402,2026-03-02 13:31:00-05:00,2063
571,85623.357134,686.5925,686.54,686.76,686.775,686.435,2026-03-02 13:32:00-05:00,1804
572,59370.27996,686.7184,686.75,686.62,686.84,686.595,2026-03-02 13:33:00-05:00,1467
573,78455.383793,686.5907,686.62,686.56,686.64,686.54,2026-03-02 13:34:00-05:00,1635
574,59364.185625,686.4935,686.56,686.51,686.565,686.37,2026-03-02 13:35:00-05:00,1353
575,69177.172514,686.4426,686.51,686.41,686.52,686.38,2026-03-02 13:36:00-05:00,1646
576,116476.885609,686.2955,686.41,686.27,686.415,686.17,2026-03-02 13:37:00-05:00,2227
