Trd, 006406.577, 135
Trd, 006407.269, 124
Trd, 006425.231, 133
Trd, 006425.808, 132
Trd, 006428.346, 128
Trd, 006442.000, 119
Trd, 006445.385, 123
Trd, 006453.192, 143
Trd, 006453.692, 136
Trd, 006461.192, 123
Trd, 006471.500, 143
Trd, 006482.923, 143
Trd, 006499.538, 150
Trd, 006519.269, 150
Trd, 006544.038, 143
Trd, 006546.231, 143
Trd, 006564.462, 136
Trd, 006583.385, 134
Trd, 006586.769, 128
Trd, 006593.192, 112
Trd, 006598.615, 137
Trd, 006605.038, 124
Trd, 006613.192, 113
Trd, 006621.308, 131
Trd, 006626.577, 129
Trd, 006630.192, 133
Trd, 006643.615, 124
Trd, 006648.423, 143
Trd, 006651.846, 106
Trd, 006654.577, 126
Trd, 006661.000, 128
Trd, 006661.269, 130
Trd, 006666.654, 130
Trd, 006670.462, 141
Trd, 006693.462, 143
Trd, 006694.000, 141
Trd, 006694.077, 132
Trd, 006697.769, 117
Trd, 006699.192, 122
Trd, 006699.308, 119
Trd, 006708.500, 119
Trd, 006718.192, 148
Trd, 006719.000, 136
Trd, 006721.731, 126
Trd, 006735.692, 120
Trd, 006740.538, 128
Trd, 006742.038, 124
Trd, 006743.115, 126
Trd, 006762.000, 129
Trd, 006765.385, 126
Trd, 006779.962, 113
Trd, 006783.615, 124
Trd, 006784.192, 103
Trd, 006787.423, 122
Trd, 006790.077, 126
Trd, 006795.115, 143
Trd, 006796.615, 104
Trd, 006807.308, 124
Trd, 006814.923, 121
Trd, 006840.115, 108
Trd, 006863.962, 121
Trd, 006894.808, 119
Trd, 006898.192, 120
Trd, 006904.462, 123
Trd, 006906.846, 122
Trd, 006909.923, 118
Trd, 006922.846, 118
Trd, 006924.769, 117
Trd, 006930.462, 121
Trd, 006934.808, 123
Trd, 006941.577, 132
Trd, 006941.731, 130
Trd, 006943.308, 139
Trd, 006947.231, 127
Trd, 006963.808, 133
Trd, 006967.423, 135
Trd, 006974.115, 115
Trd, 006976.731, 130
Trd, 006978.154, 117
Trd, 006991.885, 113
Trd, 006994.154, 129
Trd, 006997.269, 121
Trd, 007018.115, 123
Trd, 007026.077, 124
Trd, 007038.192, 126
Trd, 007051.538, 128
Trd, 007058.846, 117
Trd, 007060.577, 127
Trd, 007068.962, 122
Trd, 007070.115, 122
Trd, 007076.538, 129
Trd, 007082.769, 120
Trd, 007089.231, 127
Trd, 007091.538, 119
Trd, 007096.808, 126
Trd, 007097.654, 127
Trd, 007102.269, 133
Trd, 007112.577, 128
Trd, 007123.731, 131
Trd, 007141.923, 123
Trd, 007149.192, 132
Trd, 007161.923, 134
Trd, 007178.962, 127
Trd, 007184.615, 123
Trd, 007204.962, 129
Trd, 007227.346, 118
Trd, 007229.231, 116
Trd, 007239.731, 121
Trd, 007240.462, 128
Trd, 007243.654, 131
Trd, 007250.962, 141
Trd, 007258.115, 121
Trd, 007259.308, 134
Trd, 007267.500, 124
Trd, 007270.692, 132
Trd, 007283.000, 123
Trd, 007288.769, 145
Trd, 007295.654, 130
Trd, 007314.846, 124
Trd, 007319.538, 128
Trd, 007326.731, 146
Trd, 007330.731, 131
Trd, 007334.385, 127
Trd, 007336.231, 122
Trd, 007345.462, 124
Trd, 007353.885, 133
Trd, 007357.885, 131
Trd, 007364.000, 129
Trd, 007370.500, 134
